sna,q,w,e,r,t,y,y
1,https://www.carjunction.com/car-detail/toyota-hilux-vigo-2015-83445.html,,,,,,
2,https://www.carjunction.com/car-detail/toyota-hilux-revo-2021-87791.html,,,,,,
3,https://www.carjunction.com/car-detail/mitsubishi-canter-1993-90370.html,,,,,,
4,https://www.carjunction.com/car-detail/toyota-hilux-vigo-2010-86370.html,,,,,,
5,https://www.carjunction.com/car-detail/toyota-passo-2007-89980.html,,,,,,
6,https://www.carjunction.com/car-detail/toyota-land-cruiser-2020-90643.html,,,,,,
7,https://www.carjunction.com/car-detail/ford-ranger-2020-84077.html,,,,,,
8,https://www.carjunction.com/car-detail/honda-acty-1991-85547.html,,,,,,
9,https://www.carjunction.com/car-detail/toyota-corolla-axio-2017-90403.html,,,,,,
10,https://www.carjunction.com/car-detail/toyota-hilux-revo-2021-88051.html,,,,,,
11,https://www.carjunction.com/car-detail/toyota-vanguard-2007-90468.html,,,,,,
12,https://www.carjunction.com/car-detail/toyota-coaster-2020-78024.html,,,,,,
13,https://www.carjunction.com/car-detail/toyota-ventury-2015-81656.html,,,,,,
14,https://www.carjunction.com/car-detail/toyota-hiace-2010-88023.html,,,,,,
15,https://www.carjunction.com/car-detail/isuzu-elf-2006-90352.html,,,,,,
16,https://www.carjunction.com/car-detail/toyota-majesty-2020-82778.html,,,,,,
17,https://www.carjunction.com/car-detail/toyota-sienta-2007-89985.html,,,,,,
18,https://www.carjunction.com/car-detail/nissan-cube-2011-89469.html,,,,,,
19,https://www.carjunction.com/car-detail/toyota-hilux-revo-rocco-2021-87739.html,,,,,,
20,https://www.carjunction.com/car-detail/toyota-coaster-1999-81165.html,,,,,,
21,https://www.carjunction.com/car-detail/toyota-prius-hybrid-2005-88565.html,,,,,,
22,https://www.carjunction.com/car-detail/toyota-alphard-hybrid-2019-90255.html,,,,,,
23,https://www.carjunction.com/car-detail/nissan-note-2017-90402.html,,,,,,
24,https://www.carjunction.com/car-detail/mitsubishi-fuso-fighter-2003-89784.html,,,,,,
25,https://www.carjunction.com/car-detail/toyota-vitz-2017-90689.html,,,,,,
26,https://www.carjunction.com/car-detail/suzuki-swift-2009-90474.html,,,,,,
27,https://www.carjunction.com/car-detail/toyota-hilux-revo-2018-81259.html,,,,,,
28,https://www.carjunction.com/car-detail/toyota-hilux-revo-2021-88050.html,,,,,,
29,https://www.carjunction.com/car-detail/toyota-corolla-axio-2017-90403.html,,,,,,
30,https://www.carjunction.com/car-detail/mitsubishi-pajero-2018-89765.html,,,,,,
31,https://www.carjunction.com/car-detail/nissan-bluebird-sylphy-2011-90445.html,,,,,,
32,https://www.carjunction.com/car-detail/nissan-wingroad-2010-90488.html,,,,,,
33,https://www.carjunction.com/car-detail/toyota-estima-2009-90654.html,,,,,,
34,https://www.carjunction.com/car-detail/toyota-fortuner-2021-87784.html,,,,,,
35,https://www.carjunction.com/car-detail/toyota-ventury-2015-81656.html,,,,,,
36,https://www.carjunction.com/car-detail/isuzu-elf-2006-89539.html,,,,,,
37,https://www.carjunction.com/car-detail/toyota-land-cruiser-2020-90645.html,,,,,,
38,https://www.carjunction.com/car-detail/nissan-note-2017-90395.html,,,,,,
39,https://www.carjunction.com/car-detail/toyota-vitz-2010-90470.html,,,,,,
40,https://www.carjunction.com/car-detail/toyota-allion-2018-90509.html,,,,,,
41,https://www.carjunction.com/car-detail/toyota-coaster-2019-90702.html,,,,,,
42,https://www.carjunction.com/car-detail/nissan-teana-2011-90432.html,,,,,,
43,https://www.carjunction.com/car-detail/nissan-dualis-2011-90186.html,,,,,,
44,https://www.carjunction.com/car-detail/mitsubishi-triton-2020-89672.html,,,,,,
45,https://www.carjunction.com/car-detail/toyota-passo-2011-90447.html,,,,,,
46,https://www.carjunction.com/car-detail/mitsubishi-fuso-fighter-2003-89784.html,,,,,,
47,https://www.carjunction.com/car-detail/toyota-hilux-revo-rocco-2019-83444.html,,,,,,
48,https://www.carjunction.com/car-detail/toyota-vitz-hybrid-2017-90513.html,,,,,,
49,https://www.carjunction.com/car-detail/toyota-hilux-vigo-2007-86356.html,,,,,,
50,https://www.carjunction.com/car-detail/toyota-rav4-2019-89734.html,,,,,,
51,https://www.carjunction.com/car-detail/toyota-prius-hybrid-2005-81219.html,,,,,,
52,https://www.carjunction.com/car-detail/toyota-corolla-fielder-hybrid-2016-90515.html,,,,,,
53,https://www.carjunction.com/car-detail/mitsubishi-triton-2020-89672.html,,,,,,
54,https://www.carjunction.com/car-detail/toyota-belta-2010-90544.html,,,,,,
55,https://www.carjunction.com/car-detail/toyota-fortuner-2007-86383.html,,,,,,
56,https://www.carjunction.com/car-detail/toyota-land-cruiser-2020-90644.html,,,,,,
57,https://www.carjunction.com/car-detail/isuzu-elf-2005-89707.html,,,,,,
58,https://www.carjunction.com/car-detail/toyota-voxy-2012-90618.html,,,,,,
59,https://www.carjunction.com/car-detail/toyota-yaris-cross-2020-89628.html,,,,,,
60,https://www.carjunction.com/car-detail/toyota-hilux-revo-2015-88742.html,,,,,,
61,https://www.carjunction.com/car-detail/toyota-corolla-fielder-2015-90597.html,,,,,,
62,https://www.carjunction.com/car-detail/toyota-hilux-vigo-2014-83280.html,,,,,,
63,https://www.carjunction.com/car-detail/nissan-leaf-2019-88885.html,,,,,,
64,https://www.carjunction.com/car-detail/nissan-sunny-1996-82864.html,,,,,,
65,https://www.carjunction.com/car-detail/toyota-hilux-2008-90253.html,,,,,,
66,https://www.carjunction.com/car-detail/toyota-hilux-revo-2021-87808.html,,,,,,
67,https://www.carjunction.com/car-detail/toyota-corolla-axio-2015-90596.html,,,,,,
68,https://www.carjunction.com/car-detail/nissan-tiida-2011-90420.html,,,,,,
69,https://www.carjunction.com/car-detail/toyota-land-cruiser-2019-90206.html,,,,,,
70,https://www.carjunction.com/car-detail/mitsubishi-canter-2000-90319.html,,,,,,
71,https://www.carjunction.com/car-detail/nissan-dualis-2011-90186.html,,,,,,
72,https://www.carjunction.com/car-detail/toyota-vitz-2010-90470.html,,,,,,
