 basic :--,Audi
0,"https://www.automobile.fr//Voiture/Audi-Q7-3.0-TDI-Quattro-Automatik-7-Sitzer/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687719.html"
1,"https://www.automobile.fr//Voiture/Audi-AUDI-Q5-QUATTRO/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687689.html"
2,"https://www.automobile.fr//Voiture/Audi-Audi-A4-B5-1.6l-Limousine/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687665.html"
3,"https://www.automobile.fr//Voiture/Audi-A2-1.4-StyleKlimaautomatik-PDC-1.Hand/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687654.html"
4,"https://www.automobile.fr//Voiture/Audi-A6-2.4-Avant-S-Line-Tempomat-Klimaaut./vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687650.html"
5,"https://www.automobile.fr//Voiture/Audi-A1-sport-1.4TDI-Xenon-Sitzheizung-PDC/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687593.html"
6,"https://www.automobile.fr//Voiture/Audi-Audi-A3-Sportback-2007-TSI-1,6-Alle/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687586.html"
7,"https://www.automobile.fr//Voiture/Audi-A6-3.0-TDI-clean-d.-quattro-S-tronic/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687568.html"
8,"https://www.automobile.fr//Voiture/Audi-Audi-A3-Sportback-1.0-TFSI-Sport-S/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687541.html"
9,"https://www.automobile.fr//Voiture/Audi-Audi-a6-4f-3.0-tdi-allrad/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687528.html"
,BMW
0,"https://www.automobile.fr//Voiture/BMW-Bmw-120-d-Bj-2005/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687706.html"
1,"https://www.automobile.fr//Voiture/BMW-118i-Cabrio-M-Sport-Navi-Xenon-Hifi-LM-18/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687703.html"
2,"https://www.automobile.fr//Voiture/BMW-Bmw-x3-f25/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687663.html"
3,"https://www.automobile.fr//Voiture/BMW-BMW-E36-Compact/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687640.html"
4,"https://www.automobile.fr//Voiture/BMW-530d/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687639.html"
5,"https://www.automobile.fr//Voiture/BMW-Motor-startet-nicht/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687638.html"
6,"https://www.automobile.fr//Voiture/BMW-BMW-525i-M-Model-LPG-Leder-Navi-Klima-Bi/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687630.html"
7,"https://www.automobile.fr//Voiture/BMW-BMW-E60-525d/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687628.html"
8,"https://www.automobile.fr//Voiture/BMW-Baureihe-3-Lim.-320i-Sport-Paket-M-M/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309292629.html"
9,"https://www.automobile.fr//Voiture/BMW-BMW-318d-T%C3%9CV-bis-Juni-2022/vhc:car,ms1:3500__,dmg:false/pg:vipcar/309687618.html"
,Mercedes-Benz
0,"https://www.automobile.fr//Voiture/Mercedes-Benz-B-180-CDI-d-Urban-Aut.-Pano/vhc:car,ms1:17200__,dmg:false/pg:vipcar/304086275.html"
1,"https://www.automobile.fr//Voiture/Mercedes-Benz-E55-amg-W210-Facelift/vhc:car,ms1:17200__,dmg:false/pg:vipcar/309687710.html"
2,"https://www.automobile.fr//Voiture/Mercedes-Benz-Mercedes-Benz-B-Klasse-180-CDI/vhc:car,ms1:17200__,dmg:false/pg:vipcar/309687708.html"
3,"https://www.automobile.fr//Voiture/Mercedes-Benz-GLA-250-Urban-Automatik-BiXenon/vhc:car,ms1:17200__,dmg:false/pg:vipcar/309119993.html"
4,"https://www.automobile.fr//Voiture/Mercedes-Benz-C-Klasse-C-220-T-CDI-Automatik/vhc:car,ms1:17200__,dmg:false/pg:vipcar/308966852.html"
5,"https://www.automobile.fr//Voiture/Mercedes-Benz-220-CDI/vhc:car,ms1:17200__,dmg:false/pg:vipcar/309687660.html"
6,"https://www.automobile.fr//Voiture/Mercedes-Benz-CLA-180-Urban-XENON-NAVI-PTS/vhc:car,ms1:17200__,dmg:false/pg:vipcar/309687659.html"
7,"https://www.automobile.fr//Voiture/Mercedes-Benz-C-43-AMG-COUPE-4-MATIC-JUNGE/vhc:car,ms1:17200__,dmg:false/pg:vipcar/308962637.html"
8,"https://www.automobile.fr//Voiture/Mercedes-Benz-C-43-AMG-COUPE-4-MATIC-JUNGE/vhc:car,ms1:17200__,dmg:false/pg:vipcar/308962627.html"
9,"https://www.automobile.fr//Voiture/Mercedes-Benz-SL-350-NEUWERTIG-WENIG-KM-NAVI/vhc:car,ms1:17200__,dmg:false/pg:vipcar/306441365.html"
,Opel
0,"https://www.automobile.fr//Voiture/Opel-Corsa-E-5-T-120-Jahre-1.4-SHZ-PDC-LHZ/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687712.html"
1,"https://www.automobile.fr//Voiture/Opel-Opel-Meriva-Diesel-Erstzulassung-04-2008/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687709.html"
2,"https://www.automobile.fr//Voiture/Opel-Opel-Tigra-Twintop/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687661.html"
3,"https://www.automobile.fr//Voiture/Opel-Opel-Mokka-1,4-mit-Winterreifen/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687655.html"
4,"https://www.automobile.fr//Voiture/Opel-Opel-Vechta-2,2-Diesel/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687653.html"
5,"https://www.automobile.fr//Voiture/Opel-Corsa-D-Edition-Automatik-Klima/vhc:car,ms1:19000__,dmg:false/pg:vipcar/308986573.html"
6,"https://www.automobile.fr//Voiture/Opel-Opel-Corsa-C/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687620.html"
7,"https://www.automobile.fr//Voiture/Opel-Corsa-City/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687609.html"
8,"https://www.automobile.fr//Voiture/Opel-Verkaufe-Opel-Vectra/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687573.html"
9,"https://www.automobile.fr//Voiture/Opel-Corsa-1.7-DI-16V/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687563.html"
,Skoda
0,"https://www.automobile.fr//Voiture/Skoda-Rapid-Spaceback-Ambition-1,0TSI-110-PS/vhc:car,ms1:22900__,dmg:false/pg:vipcar/280901222.html"
1,"https://www.automobile.fr//Voiture/Skoda-Kamiq-1.0-TSI-85kW-115-PS-Style-6-Gang/vhc:car,ms1:22900__,dmg:false/pg:vipcar/286422072.html"
2,"https://www.automobile.fr//Voiture/Skoda-Kamiq-1.0-TSI-85kW-Style-R%C3%BCckfahrkamera/vhc:car,ms1:22900__,dmg:false/pg:vipcar/293973525.html"
3,"https://www.automobile.fr//Voiture/Skoda-Kamiq-1.0-TSI-85kW-Style-R%C3%BCckfahrkamera/vhc:car,ms1:22900__,dmg:false/pg:vipcar/293976604.html"
4,"https://www.automobile.fr//Voiture/Skoda-OCTAVIA-COMBI-DRIVE-2.0-TDI-DSG-NAVI/vhc:car,ms1:22900__,dmg:false/pg:vipcar/309687715.html"
5,"https://www.automobile.fr//Voiture/Skoda-Octavia-Combi-Soleil-2.0-TDI-DSG-LED/vhc:car,ms1:22900__,dmg:false/pg:vipcar/309687691.html"
6,"https://www.automobile.fr//Voiture/Skoda-Octavia-Combi-Ambition-Navi-SHZ-Temp./vhc:car,ms1:22900__,dmg:false/pg:vipcar/309246663.html"
